internal_security_id,custodian_security_code,isin,ticker,security_name,asset_class,currency,unit_multiplier,status,effective_from
SEC0015,CUST0015,INHE7UR23GD6,COALINDIA,COALINDIA Ltd,Equity,INR,1,ACTIVE,2015-01-01
SEC0016,CUST0016,INMO5BXXC021,ASIANPAINT,ASIANPAINT Ltd,Equity,INR,1,ACTIVE,2015-01-01
SEC0017,CUST0017,INIGQPKI7P58,APOLLOHOSP,APOLLOHOSP Ltd,Equity,INR,1,ACTIVE,2015-01-01
SEC0018,CUST0018,INDXTAD1IOR6,TITAN,TITAN Ltd,Equity,INR,1,ACTIVE,2015-01-01
SEC0019,CUST0019,IN6FAO72KZ08,NESTLEIND,NESTLEIND Ltd,Equity,INR,1,ACTIVE,2015-01-01
SEC0020,CUST0020,INXRGHC0CLB7,RELIANCE,RELIANCE Ltd,Equity,INR,1,ACTIVE,2015-01-01
SEC0021,CUST0021,INS4F8CGVYI1,SBILIFE,SBILIFE Ltd,FixedIncome,INR,1000,ACTIVE,2015-01-01
SEC0022,CUST0022,IN7UUBCXULJ5,BAJAJ-AUTO,BAJAJ-AUTO Ltd,MoneyMarket,INR,100,ACTIVE,2015-01-01
SEC0023,CUST0023,INIOYKL1CQ91,POWERGRID,POWERGRID Ltd,Derivative,INR,10,ACTIVE,2015-01-01
SEC0024,CUST0024,INCHJ755NF44,ONGC,ONGC Ltd,Equity,INR,1,ACTIVE,2015-01-01
SEC0025,CUST0025,INW9XA3KX7E1,TATAMOTORS,TATAMOTORS Ltd,Equity,INR,1,ACTIVE,2015-01-01
SEC0026,CUST0026,IN60FKHMY4S4,DIVISLAB,DIVISLAB Ltd,Equity,INR,1,ACTIVE,2015-01-01
SEC0027,CUST0027,IN64DPJA1WJ7,DRREDDY,DRREDDY Ltd,Equity,INR,1,ACTIVE,2015-01-01
SEC0028,CUST0028,INTPAC56T4U2,TATACONSUM,TATACONSUM Ltd,Equity,INR,1,ACTIVE,2015-01-01
SEC0029,CUST0029,INPBN78BMYY5,CIPLA,CIPLA Ltd,Equity,INR,1,ACTIVE,2015-01-01
SEC0030,CUST0030,IN25OWF75936,WIPRO,WIPRO Ltd,Equity,INR,1,ACTIVE,2015-01-01
SEC0031,CUST0031,INA0L7253J21,UPL,UPL Ltd,FixedIncome,INR,1000,ACTIVE,2015-01-01
SEC0032,CUST0032,INNBQH7M35I3,TECHM,TECHM Ltd,MoneyMarket,INR,100,ACTIVE,2015-01-01
SEC0033,CUST0033,INOKC1MSY4L0,BAJAJFINSV,BAJAJFINSV Ltd,Derivative,INR,10,ACTIVE,2015-01-01
SEC0034,CUST0034,INE8G8JDP0L9,ITC,ITC Ltd,Equity,INR,1,ACTIVE,2015-01-01
SEC0035,CUST0035,IN9E6GBPS3Y3,ADANIPORTS,ADANIPORTS Ltd,Equity,INR,1,ACTIVE,2015-01-01
SEC0036,CUST0036,INNCXLL4ZKL6,HDFCLIFE,HDFCLIFE Ltd,Equity,INR,1,ACTIVE,2015-01-01
SEC0037,CUST0037,INLZTGXN0GU6,ICICIBANK,ICICIBANK Ltd,Equity,INR,1,ACTIVE,2015-01-01
SEC0038,CUST0038,INTAKPUXQPH7,BRITANNIA,BRITANNIA Ltd,Equity,INR,1,ACTIVE,2015-01-01
SEC0039,CUST0039,IN280XKXWD83,INFY,INFY Ltd,Equity,INR,1,ACTIVE,2015-01-01
SEC0040,CUST0040,INYIHAIR4CO9,BAJFINANCE,BAJFINANCE Ltd,Equity,INR,1,ACTIVE,2015-01-01
SEC0041,CUST0041,INGZRIXA11D6,BPCL,BPCL Ltd,FixedIncome,INR,1000,ACTIVE,2015-01-01
SEC0042,CUST0042,INH2ZQU7EEQ8,JSWSTEEL,JSWSTEEL Ltd,MoneyMarket,INR,100,ACTIVE,2015-01-01
SEC0043,CUST0043,IN9V86WZS3T2,LT,LT Ltd,Derivative,INR,10,ACTIVE,2015-01-01
SEC0044,CUST0044,IN0RJIW1SWJ1,NTPC,NTPC Ltd,Equity,INR,1,ACTIVE,2015-01-01
SEC0045,CUST0045,INZIM6CFNFH6,AXISBANK,AXISBANK Ltd,Equity,INR,1,ACTIVE,2015-01-01
SEC0046,CUST0046,INOTOHP6VZ49,TATASTEEL,TATASTEEL Ltd,Equity,INR,1,ACTIVE,2015-01-01
SEC0047,CUST0047,INNAM148P0T9,M&M,M&M Ltd,Equity,INR,1,ACTIVE,2015-01-01
SEC0048,CUST0048,IN6RJRNY2042,GRASIM,GRASIM Ltd,Equity,INR,1,ACTIVE,2015-01-01
SEC0049,CUST0049,IN9T6VXDP5G4,SYN000,SYN000 Ltd,Equity,INR,1,ACTIVE,2015-01-01
SEC0050,CUST0050,INNHL1N13JC0,SYN001,SYN001 Ltd,Equity,INR,1,ACTIVE,2015-01-01
SEC0051,CUST0051,IN0B8IC8BBI0,SYN002,SYN002 Ltd,FixedIncome,INR,1000,ACTIVE,2015-01-01
SEC0052,CUST0052,INWIRE8QJNV1,SYN003,SYN003 Ltd,MoneyMarket,INR,100,ACTIVE,2015-01-01
SEC0053,CUST0053,IN2FLU7U6N73,SYN004,SYN004 Ltd,Derivative,INR,10,ACTIVE,2015-01-01
SEC0054,CUST0054,INCYWD14VE90,SYN005,SYN005 Ltd,Equity,INR,1,ACTIVE,2015-01-01
SEC0055,CUST0055,INMPNSM43D87,SYN006,SYN006 Ltd,Equity,INR,1,ACTIVE,2015-01-01
SEC0056,CUST0056,INZP08J3TRP9,SYN007,SYN007 Ltd,Equity,INR,1,ACTIVE,2015-01-01
SEC0057,CUST0057,INJ43D5IQVN0,SYN008,SYN008 Ltd,Equity,INR,1,ACTIVE,2015-01-01
SEC0058,CUST0058,INRLRMJKV5U8,SYN009,SYN009 Ltd,Equity,INR,1,ACTIVE,2015-01-01
SEC0059,CUST0059,IN8DZR1YXR21,SYN010,SYN010 Ltd,Equity,INR,1,ACTIVE,2015-01-01
SEC0060,CUST0060,INKOIXNTM9T5,SYN011,SYN011 Ltd,Equity,INR,1,ACTIVE,2015-01-01
SEC0061,CUST0061,INZJJEGET1G3,SYN012,SYN012 Ltd,FixedIncome,INR,1000,ACTIVE,2015-01-01
SEC0062,CUST0062,IN0JV1V93KM4,SYN013,SYN013 Ltd,MoneyMarket,INR,100,ACTIVE,2015-01-01
SEC9001,CUST9001,IN5ECRUYF381,DELISTED,Delisted Co Ltd,Equity,INR,1,INACTIVE,2015-01-01
SEC9002,CUSTAMBIG1,IN1V2ISQP494,AMBIG-A,Ambiguous Co A,Equity,INR,1,ACTIVE,2015-01-01
SEC9003,CUSTAMBIG1,INUC8D1WJCI8,AMBIG-B,Ambiguous Co B,Equity,INR,1,ACTIVE,2015-01-01
